Array_No,Type,Size,Passes,Comparisons,Shifts
545,S,168,167,14028,6974
546,S,168,167,14028,6904
547,S,168,167,14028,7836
548,S,168,167,14028,6890
549,A,168,167,14028,0
550,D,168,167,14028,14013
AVG,AVG,168,167,14028,6924.2
551,S,200,199,19900,9999
552,S,200,199,19900,10017
553,S,200,199,19900,9494
554,S,200,199,19900,9876
555,S,200,199,19900,9899
556,S,200,199,19900,9641
557,S,200,199,19900,10034
558,S,200,199,19900,10403
559,A,200,199,19900,0
560,D,200,199,19900,19881
AVG,AVG,200,199,19900,9924.4
561,S,358,357,63903,30162
562,S,358,357,63903,32089
563,S,358,357,63903,31859
564,S,358,357,63903,33357
565,S,358,357,63903,32048
566,S,358,357,63903,32314
567,S,358,357,63903,30865
568,S,358,357,63903,29458
569,A,358,357,63903,0
570,D,358,357,63903,63849
AVG,AVG,358,357,63903,31600.1
571,S,604,603,182106,92900
572,S,604,603,182106,93207
573,S,604,603,182106,90426
574,S,604,603,182106,87988
575,S,604,603,182106,86822
576,S,604,603,182106,91781
577,S,604,603,182106,91680
578,S,604,603,182106,94777
579,A,604,603,182106,0
580,D,604,603,182106,181937
AVG,AVG,604,603,182106,91151.8
581,S,342,341,58311,28901
582,S,342,341,58311,30039
583,S,342,341,58311,30631
584,S,342,341,58311,27322
585,S,342,341,58311,28762
586,S,342,341,58311,28801
587,S,342,341,58311,30317
588,S,342,341,58311,30268
589,A,342,341,58311,0
590,D,342,341,58311,58261
AVG,AVG,342,341,58311,29330.2
591,S,464,463,107416,52157
592,S,464,463,107416,50474
593,S,464,463,107416,52074
594,S,464,463,107416,52476
595,S,464,463,107416,56397
596,S,464,463,107416,56014
597,S,464,463,107416,53767
598,S,464,463,107416,52816
599,A,464,463,107416,0
600,D,464,463,107416,107317
AVG,AVG,464,463,107416,53349.2
601,S,231,230,26565,14541
602,S,231,230,26565,12216
603,S,231,230,26565,13338
604,S,231,230,26565,12642
605,S,231,230,26565,13298
606,S,231,230,26565,13604
607,S,231,230,26565,13060
608,S,231,230,26565,13864
609,A,231,230,26565,0
610,D,231,230,26565,26541
AVG,AVG,231,230,26565,13310.4
611,S,688,687,236328,119594
612,S,688,687,236328,122875
613,S,688,687,236328,116508
614,S,688,687,236328,114120
615,S,688,687,236328,117623
616,S,688,687,236328,117275
617,S,688,687,236328,121474
618,S,688,687,236328,118972
619,A,688,687,236328,0
620,D,688,687,236328,236108
AVG,AVG,688,687,236328,118455
621,S,324,323,52326,24727
622,S,324,323,52326,28129
623,S,324,323,52326,24912
624,S,324,323,52326,26093
625,S,324,323,52326,26775
626,S,324,323,52326,25006
627,S,324,323,52326,27724
628,S,324,323,52326,25690
629,A,324,323,52326,0
630,D,324,323,52326,52270
AVG,AVG,324,323,52326,26132.6
631,S,965,964,465130,235933
632,S,965,964,465130,229059
633,S,965,964,465130,227398
634,S,965,964,465130,229729
635,S,965,964,465130,231457
636,S,965,964,465130,238456
637,S,965,964,465130,240858
638,S,965,964,465130,227153
639,A,965,964,465130,0
640,D,965,964,465130,464674
AVG,AVG,965,964,465130,232472
641,S,649,648,210276,105392
642,S,649,648,210276,103805
643,S,649,648,210276,109789
644,S,649,648,210276,101040
645,S,649,648,210276,107840
646,S,649,648,210276,113375
647,S,649,648,210276,102299
648,S,649,648,210276,105238
649,A,649,648,210276,0
650,D,649,648,210276,210060
AVG,AVG,649,648,210276,105884
651,S,254,253,32131,15468
652,S,254,253,32131,16027
653,S,254,253,32131,16613
654,S,254,253,32131,15868
655,S,254,253,32131,16279
656,S,254,253,32131,15965
657,S,254,253,32131,15669
658,S,254,253,32131,16182
659,A,254,253,32131,0
660,D,254,253,32131,32103
AVG,AVG,254,253,32131,16017.4
661,S,251,250,31375,15773
662,S,251,250,31375,15254
663,S,251,250,31375,17265
664,S,251,250,31375,15744
665,S,251,250,31375,14556
666,S,251,250,31375,16209
667,S,251,250,31375,15349
668,S,251,250,31375,14451
669,A,251,250,31375,0
670,D,251,250,31375,31338
AVG,AVG,251,250,31375,15593.9
671,S,999,998,498501,251070
672,S,999,998,498501,249391
673,S,999,998,498501,242908
674,S,999,998,498501,259147
675,S,999,998,498501,253259
676,S,999,998,498501,248226
677,S,999,998,498501,245323
678,S,999,998,498501,255029
679,A,999,998,498501,0
680,D,999,998,498501,497971
AVG,AVG,999,998,498501,250232
681,S,265,264,34980,17017
682,S,265,264,34980,18273
683,S,265,264,34980,18505
684,S,265,264,34980,17760
685,S,265,264,34980,18498
686,S,265,264,34980,17150
687,S,265,264,34980,17779
688,S,265,264,34980,17316
689,A,265,264,34980,0
690,D,265,264,34980,34942
AVG,AVG,265,264,34980,17724
691,S,906,905,409965,199937
692,S,906,905,409965,209521
693,S,906,905,409965,200554
694,S,906,905,409965,200721
695,S,906,905,409965,211710
696,S,906,905,409965,206020
697,S,906,905,409965,199867
698,S,906,905,409965,211681
699,A,906,905,409965,0
700,D,906,905,409965,409581
AVG,AVG,906,905,409965,204959
701,S,575,574,165025,82387
702,S,575,574,165025,81114
703,S,575,574,165025,81434
704,S,575,574,165025,83634
705,S,575,574,165025,85067
706,S,575,574,165025,77613
707,S,575,574,165025,79639
708,S,575,574,165025,81259
709,A,575,574,165025,0
710,D,575,574,165025,164850
AVG,AVG,575,574,165025,81699.7
711,S,944,943,445096,232809
712,S,944,943,445096,223741
713,S,944,943,445096,221408
714,S,944,943,445096,216341
715,S,944,943,445096,225570
