Array_No,Type,Size,Comparisons,Swaps
590,D,342,51795,188
AVG,AVG,342,13463.8,1076.8
591,S,464,4876,2164
592,S,464,4348,1870
593,S,464,4331,1743
594,S,464,4513,1956
595,S,464,4627,1627
596,S,464,3987,1681
597,S,464,3813,1790
598,S,464,4450,1771
599,A,464,107416,0
600,D,464,86159,268
AVG,AVG,464,22852,1487
601,S,231,1816,744
602,S,231,1699,747
603,S,231,1967,919
604,S,231,1961,698
605,S,231,2047,838
606,S,231,1834,787
607,S,231,2054,854
608,S,231,1665,696
609,A,231,26565,0
610,D,231,24201,123
AVG,AVG,231,6580.9,640.6
611,S,688,6650,2807
612,S,688,7193,3229
613,S,688,7488,3349
614,S,688,6414,2893
615,S,688,7572,3671
616,S,688,6727,3188
617,S,688,7381,3792
618,S,688,7220,2647
619,A,688,236328,0
620,D,688,182976,409
AVG,AVG,688,47594.9,2598.5
621,S,324,2865,1341
622,S,324,2675,1210
623,S,324,2740,1014
624,S,324,3378,1392
625,S,324,2678,1251
626,S,324,2811,1252
627,S,324,2759,1512
628,S,324,2454,1192
629,A,324,52326,0
630,D,324,44671,180
AVG,AVG,324,11935.7,1034.4
631,S,965,9466,4299
632,S,965,10741,4187
633,S,965,10536,5074
634,S,965,13488,6821
635,S,965,11123,5597
636,S,965,10188,4202
637,S,965,10872,5042
638,S,965,10297,4140
639,A,965,465130,0
640,D,965,329756,595
AVG,AVG,965,88159.7,3995.7
641,S,649,6227,2940
642,S,649,6151,2711
643,S,649,6170,2655
644,S,649,6427,2981
645,S,649,7217,3912
646,S,649,6106,2619
647,S,649,7311,4000
648,S,649,6117,2845
649,A,649,210276,0
650,D,649,164304,377
AVG,AVG,649,42630.6,2504
651,S,254,2175,791
652,S,254,1960,961
653,S,254,2144,1098
654,S,254,1922,823
655,S,254,2012,900
656,S,254,1910,842
657,S,254,2083,726
658,S,254,2036,980
659,A,254,32131,0
660,D,254,28851,141
AVG,AVG,254,7722.4,726.2
661,S,251,1945,829
662,S,251,1865,692
663,S,251,2074,866
664,S,251,2002,828
665,S,251,2278,1127
666,S,251,2013,885
667,S,251,2058,949
668,S,251,2067,936
669,A,251,31375,0
670,D,251,28435,136
AVG,AVG,251,7611.2,724.8
671,S,999,11231,4952
672,S,999,10652,4338
673,S,999,12049,4933
674,S,999,11635,4517
675,S,999,11770,5672
676,S,999,11489,5443
677,S,999,11288,5226
678,S,999,12477,5258
679,A,999,498501,0
680,D,999,328053,624
AVG,AVG,999,91914.5,4096.3
681,S,265,2026,848
682,S,265,2256,887
683,S,265,2495,789
684,S,265,2038,971
685,S,265,2276,1025
686,S,265,2301,756
687,S,265,2124,994
688,S,265,2090,778
689,A,265,34980,0
690,D,265,30927,146
AVG,AVG,265,8351.3,719.4
691,S,906,10117,4781
692,S,906,11232,5172
693,S,906,9752,5218
694,S,906,9220,4367
695,S,906,8993,3706
696,S,906,9948,4584
697,S,906,9061,4221
698,S,906,10256,4839
699,A,906,409965,0
700,D,906,297234,545
AVG,AVG,906,78577.8,3743.3
701,S,575,5504,2429
702,S,575,6157,3379
703,S,575,5395,2577
704,S,575,5525,2407
705,S,575,5662,2153
706,S,575,6106,3531
707,S,575,5802,2348
708,S,575,5491,2380
709,A,575,165025,0
710,D,575,127122,341
AVG,AVG,575,33778.9,2154.5
711,S,944,10201,4406
712,S,944,10725,4672
713,S,944,9413,3945
714,S,944,10120,4214
715,S,944,10518,4759
716,S,944,9812,4361
717,S,944,9830,4216
718,S,944,10138,4044
719,A,944,445096,0
720,D,944,294799,589
AVG,AVG,944,82065.2,3520.6
721,S,848,9093,3627
722,S,848,9219,3520
723,S,848,8241,3835
724,S,848,9079,4091
725,S,848,8571,3782
726,S,848,8601,3828
727,S,848,9126,4285
728,S,848,9346,3534
729,A,848,359128,0
730,D,848,258025,501
AVG,AVG,848,68842.9,3100.3
731,S,527,5647,2717
732,S,527,4935,2047
733,S,527,4903,1752
734,S,527,4586,2152
735,S,527,4940,2109
736,S,527,4818,2153
737,S,527,5670,2876
738,S,527,4759,2188
739,A,527,138601,0
740,D,527,115274,300
AVG,AVG,527,29413.3,1829.4
741,S,753,7725,3486
742,S,753,9179,3587
743,S,753,7966,4167
744,S,753,8040,3857
745,S,753,7535,3497
746,S,753,8534,3864
747,S,753,7841,3163
748,S,753,8563,3843
749,A,753,283128,0
750,D,753,199228,456
AVG,AVG,753,54773.9,2992
751,S,656,6094,2811
752,S,656,7406,3210
753,S,656,7378,4365
754,S,656,6618,2825
755,S,656,6528,2767
756,S,656,7230,3231
757,S,656,6206,2712
758,S,656,6343,2564
759,A,656,214840,0
760,D,656,161131,383
AVG,AVG,656,42977.4,2486.8
761,S,812,8001,3818
762,S,812,8472,3519
763,S,812,8966,4048
764,S,812,7926,3774
765,S,812,7674,3543
766,S,812,9202,4476
