Array_No,Type,Size,Comparisons,Swaps
504,S,283,3755,2059
505,S,283,3770,2076
506,S,283,3761,2067
507,S,283,3767,2073
508,S,283,3771,2070
509,A,283,3919,2219
510,D,283,3512,1858
AVG,AVG,283,3747.8,2056.6
511,S,317,4292,2354
512,S,317,4285,2353
513,S,317,4316,2368
514,S,317,4286,2345
515,S,317,4289,2357
516,S,317,4324,2364
517,S,317,4297,2343
518,S,317,4339,2378
519,A,317,4515,2552
520,D,317,4039,2124
AVG,AVG,317,4298.2,2353.8
521,S,579,8848,4800
522,S,579,8850,4819
523,S,579,8875,4809
524,S,579,8849,4797
525,S,579,8871,4800
526,S,579,8855,4799
527,S,579,8863,4835
528,S,579,8869,4835
529,A,579,9265,5157
530,D,579,8370,4392
AVG,AVG,579,8851.5,4804.3
531,S,895,14840,7987
532,S,895,14823,7996
533,S,895,14860,8015
534,S,895,14817,7985
535,S,895,14801,7988
536,S,895,14858,8037
537,S,895,14840,8010
538,S,895,14803,7978
539,A,895,15476,8546
540,D,895,14059,7343
AVG,AVG,895,14817.7,7988.5
541,S,168,1973,1099
542,S,168,1977,1103
543,S,168,1999,1108
544,S,168,1959,1096
545,S,168,1971,1101
546,S,168,1974,1093
547,S,168,1977,1099
548,S,168,1980,1103
549,A,168,2081,1200
550,D,168,1831,979
AVG,AVG,168,1972.2,1098.1
551,S,200,2435,1348
552,S,200,2428,1345
553,S,200,2452,1348
554,S,200,2452,1357
555,S,200,2458,1369
556,S,200,2460,1366
557,S,200,2435,1360
558,S,200,2442,1351
559,A,200,2577,1479
560,D,200,2280,1207
AVG,AVG,200,2441.9,1353
561,S,358,5026,2759
562,S,358,5008,2728
563,S,358,4977,2716
564,S,358,4971,2704
565,S,358,4993,2738
566,S,358,5013,2747
567,S,358,5028,2765
568,S,358,4987,2735
569,A,358,5242,2946
570,D,358,4670,2485
AVG,AVG,358,4991.5,2732.3
571,S,604,9321,5020
572,S,604,9325,5050
573,S,604,9326,5061
574,S,604,9316,5058
575,S,604,9314,5062
576,S,604,9285,5048
577,S,604,9338,5052
578,S,604,9301,5048
579,A,604,9758,5405
580,D,604,8796,4602
AVG,AVG,604,9308,5040.6
581,S,342,4729,2596
582,S,342,4721,2584
583,S,342,4701,2571
584,S,342,4737,2618
585,S,342,4738,2590
586,S,342,4708,2577
587,S,342,4711,2583
588,S,342,4697,2583
589,A,342,4956,2787
590,D,342,4409,2337
AVG,AVG,342,4710.7,2582.6
591,S,464,6799,3721
592,S,464,6829,3734
593,S,464,6783,3713
594,S,464,6799,3702
595,S,464,6787,3677
596,S,464,6795,3701
597,S,464,6775,3689
598,S,464,6811,3708
599,A,464,7115,3995
600,D,464,6416,3376
AVG,AVG,464,6790.9,3701.6
601,S,231,2908,1600
602,S,231,2941,1623
603,S,231,2922,1613
604,S,231,2924,1615
605,S,231,2915,1602
606,S,231,2896,1595
607,S,231,2934,1624
608,S,231,2909,1604
609,A,231,3061,1756
610,D,231,2744,1459
AVG,AVG,231,2915.4,1609.1
611,S,688,10870,5887
612,S,688,10853,5840
613,S,688,10902,5906
614,S,688,10916,5936
615,S,688,10887,5899
616,S,688,10866,5892
617,S,688,10918,5883
618,S,688,10920,5915
619,A,688,11397,6334
620,D,688,10295,5392
AVG,AVG,688,10882.4,5888.4
621,S,324,4457,2450
622,S,324,4408,2409
623,S,324,4420,2438
624,S,324,4422,2427
625,S,324,4423,2436
626,S,324,4452,2444
627,S,324,4408,2414
628,S,324,4374,2405
629,A,324,4639,2609
630,D,324,4150,2197
AVG,AVG,324,4415.3,2422.9
631,S,965,16135,8702
632,S,965,16128,8666
633,S,965,16182,8715
634,S,965,16197,8742
635,S,965,16191,8711
636,S,965,16210,8731
637,S,965,16195,8709
638,S,965,16171,8709
639,A,965,16863,9297
640,D,965,15344,8044
AVG,AVG,965,16161.6,8702.6
641,S,649,10166,5497
642,S,649,10160,5506
643,S,649,10139,5476
644,S,649,10183,5544
645,S,649,10118,5479
646,S,649,10129,5467
647,S,649,10163,5505
648,S,649,10155,5496
649,A,649,10646,5906
650,D,649,9596,5035
AVG,AVG,649,10145.5,5491.1
651,S,254,3276,1807
652,S,254,3284,1815
653,S,254,3265,1796
654,S,254,3249,1784
655,S,254,3279,1808
656,S,254,3248,1791
657,S,254,3299,1817
658,S,254,3259,1790
659,A,254,3410,1945
660,D,254,3058,1623
AVG,AVG,254,3262.7,1797.6
661,S,251,3223,1768
662,S,251,3220,1782
663,S,251,3205,1758
664,S,251,3244,1785
665,S,251,3226,1782
666,S,251,3208,1762
667,S,251,3226,1788
668,S,251,3236,1786
669,A,251,3373,1922
670,D,251,3024,1608
AVG,AVG,251,3218.5,1774.1
671,S,999,16863,9107
672,S,999,16842,9088
673,S,999,16814,9058
674,S,999,16826,9034
675,S,999,16842,9074
676,S,999,16843,9084
677,S,999,16805,9028
678,S,999,16844,9055
679,A,999,17521,9645
680,D,999,15953,8313
AVG,AVG,999,16815.3,9048.6
681,S,265,3454,1901
682,S,265,3450,1908
683,S,265,3455,1881
684,S,265,3449,1890
685,S,265,3446,1892
686,S,265,3420,1879
687,S,265,3463,1908
688,S,265,3460,1912
689,A,265,3612,2053
690,D,265,3230,1707
AVG,AVG,265,3443.9,1893.1
691,S,906,15056,8121
692,S,906,15026,8112
693,S,906,15023,8103
694,S,906,15040,8106
695,S,906,15062,8116
696,S,906,15062,8122
697,S,906,15088,8146
698,S,906,15034,8094
699,A,906,15699,8666
700,D,906,14295,7452
AVG,AVG,906,15038.5,8103.8
701,S,575,8779,4757
702,S,575,8810,4793
703,S,575,8789,4784
704,S,575,8745,4736
705,S,575,8773,4758
706,S,575,8762,4761
707,S,575,8778,4777
708,S,575,8779,4769
709,A,575,9190,5110
710,D,575,8281,4337
AVG,AVG,575,8768.6,4758.2
711,S,944,15707,8425
712,S,944,15747,8501
713,S,944,15759,8481
714,S,944,15769,8520
715,S,944,15764,8486
716,S,944,15736,8456
717,S,944,15759,8487
718,S,944,15810,8550
719,A,944,16434,9064
720,D,944,14941,7783
AVG,AVG,944,15742.6,8475.3
721,S,848,13949,7524
722,S,848,13966,7528
723,S,848,13875,7478
724,S,848,13891,7484
725,S,848,13922,7532
726,S,848,13971,7554
727,S,848,13899,7519
728,S,848,13879,7464
729,A,848,14571,8056
730,D,848,13168,6863
AVG,AVG,848,13909.1,7500.2
731,S,527,7898,4289
732,S,527,7894,4297
733,S,527,7892,4293
734,S,527,7873,4283
735,S,527,7899,4278
736,S,527,7903,4310
737,S,527,7915,4320
738,S,527,7890,4281
739,A,527,8255,4608
740,D,527,7469,3924
AVG,AVG,527,7888.8,4288.3
741,S,753,12105,6540
742,S,753,12103,6528
743,S,753,12167,6580
744,S,753,12109,6561
745,S,753,12101,6547
746,S,753,12084,6518
747,S,753,12078,6518
748,S,753,12103,6526
749,A,753,12698,7045
750,D,753,11446,6016
AVG,AVG,753,12099.4,6537.9
751,S,656,10309,5570
752,S,656,10278,5564
753,S,656,10295,5584
754,S,656,10271,5558
755,S,656,10304,5581
756,S,656,10302,5574
757,S,656,10285,5571
758,S,656,10309,5570
759,A,656,10773,5992
760,D,656,9703,5076
AVG,AVG,656,10282.9,5564
761,S,812,13261,7140
762,S,812,13228,7140
763,S,812,13254,7152
764,S,812,13243,7134
765,S,812,13240,7148
766,S,812,13194,7105
767,S,812,13237,7135
768,S,812,13220,7157
769,A,812,13844,7669
770,D,812,12503,6530
AVG,AVG,812,13222.4,7131
771,S,517,7719,4191
772,S,517,7680,4168
773,S,517,7721,4208
774,S,517,7690,4184
775,S,517,7720,4174
776,S,517,7741,4202
777,S,517,7747,4214
778,S,517,7776,4234
779,A,517,8053,4499
780,D,517,7274,3822
AVG,AVG,517,7712.1,4189.6
781,S,687,10875,5905
782,S,687,10891,5913
783,S,687,10868,5879
784,S,687,10890,5905
785,S,687,10873,5866
786,S,687,10817,5849
787,S,687,10885,5885
788,S,687,10847,5856
789,A,687,11387,6311
790,D,687,10271,5386
AVG,AVG,687,10860.4,5875.5
791,S,123,1326,748
792,S,123,1338,746
793,S,123,1330,747
794,S,123,1338,751
795,S,123,1328,753
796,S,123,1338,757
797,S,123,1334,755
798,S,123,1327,745
799,A,123,1391,817
800,D,123,1230,660
AVG,AVG,123,1328,747.9
801,S,367,5141,2787
802,S,367,5141,2806
803,S,367,5127,2810
804,S,367,5123,2779
805,S,367,5149,2803
806,S,367,5145,2816
807,S,367,5150,2815
808,S,367,5154,2827
809,A,367,5404,3029
810,D,367,4841,2540
AVG,AVG,367,5137.5,2801.2
811,S,103,1063,597
812,S,103,1075,613
813,S,103,1058,599
814,S,103,1087,622
815,S,103,1075,612
816,S,103,1057,600
817,S,103,1067,604
818,S,103,1067,594
819,A,103,1119,666
820,D,103,985,531
AVG,AVG,103,1065.3,603.8
821,S,204,2499,1374
822,S,204,2522,1400
823,S,204,2533,1399
824,S,204,2522,1394
825,S,204,2509,1398
826,S,204,2493,1386
827,S,204,2501,1384
828,S,204,2489,1368
829,A,204,2636,1513
830,D,204,2342,1246
