Array_No,Type,Size,Passes,Comparisons,Shifts
AVG,AVG,738,737,137156,136476
421,S,159,158,6300,6149
422,S,159,158,6010,5854
423,S,159,158,6890,6736
424,S,159,158,6639,6484
425,S,159,158,6560,6411
426,S,159,158,6727,6576
427,S,159,158,7352,7198
428,S,159,158,5960,5804
429,A,159,158,158,0
430,D,159,158,12560,12549
AVG,AVG,159,158,6515.6,6376.1
431,S,737,736,127823,127094
432,S,737,736,129449,128719
433,S,737,736,131048,130320
434,S,737,736,138568,137840
435,S,737,736,138007,137282
436,S,737,736,131763,131033
437,S,737,736,135615,134884
438,S,737,736,135576,134844
439,A,737,736,736,0
440,D,737,736,271150,270932
AVG,AVG,737,736,133974,133295
441,S,585,584,88744,88170
442,S,585,584,85063,84480
443,S,585,584,88403,87824
444,S,585,584,82797,82217
445,S,585,584,84031,83450
446,S,585,584,86605,86028
447,S,585,584,87038,86462
448,S,585,584,84252,83675
449,A,585,584,584,0
450,D,585,584,170795,170655
AVG,AVG,585,584,85831.2,85296.1
451,S,814,813,167889,167082
452,S,814,813,170045,169235
453,S,814,813,174196,173390
454,S,814,813,167158,166355
455,S,814,813,161910,161101
456,S,814,813,164230,163424
457,S,814,813,171132,170320
458,S,814,813,164794,163987
459,A,814,813,813,0
460,D,814,813,330811,330553
AVG,AVG,814,813,167298,166545
461,S,218,217,12676,12468
462,S,218,217,12790,12576
463,S,218,217,13280,13067
464,S,218,217,13006,12795
465,S,218,217,12538,12325
466,S,218,217,12215,12001
467,S,218,217,11079,10866
468,S,218,217,11188,10975
469,A,218,217,217,0
470,D,218,217,23651,23628
AVG,AVG,218,217,12264,12070.1
471,S,890,889,202767,201884
472,S,890,889,199550,198667
473,S,890,889,200238,199357
474,S,890,889,202595,201712
475,S,890,889,195633,194750
476,S,890,889,198515,197631
477,S,890,889,194186,193305
478,S,890,889,192127,191244
479,A,890,889,889,0
480,D,890,889,395506,395199
AVG,AVG,890,889,198201,197375
481,S,411,410,41490,41083
482,S,411,410,41854,41450
483,S,411,410,44351,43946
484,S,411,410,42276,41870
485,S,411,410,40586,40179
486,S,411,410,42262,41854
487,S,411,410,43325,42923
488,S,411,410,40641,40238
489,A,411,410,410,0
490,D,411,410,84243,84167
AVG,AVG,411,410,42143.8,41771
491,S,359,358,32451,32096
492,S,359,358,31627,31274
493,S,359,358,32235,31883
494,S,359,358,32877,32528
495,S,359,358,34158,33801
496,S,359,358,31009,30656
497,S,359,358,31449,31093
498,S,359,358,32778,32424
499,A,359,358,358,0
500,D,359,358,64257,64195
AVG,AVG,359,358,32319.9,31995
